id,gid,x,y,v_x,v_y,radius,time
6,6,0.000000,-7.325661,0.000000,1.383260,0.500000,0.500000
7,7,5.248721,-5.248347,-0.837209,0.837955,0.500000,0.500000
0,0,7.294429,0.000228,-1.312690,0.000425,0.500000,0.550000
1,1,5.215911,5.215905,-0.820351,-0.820363,0.500000,0.550000
2,2,0.000202,7.266619,0.000377,-1.364430,0.500000,0.550000
3,3,-5.153951,5.154069,0.935627,-0.935406,0.500000,0.550000
4,4,-7.365089,0.000150,1.181230,0.000280,0.500000,0.550000
5,5,-5.144095,-5.144445,0.953963,0.953330,0.500000,0.550000
6,6,0.000000,-7.256498,0.000000,1.383260,0.500000,0.550000
7,7,5.206860,-5.206449,-0.837209,0.837955,0.500000,0.550000
0,0,7.228795,0.000249,-1.312690,0.000425,0.500000,0.600000
1,1,5.174894,5.174887,-0.820351,-0.820363,0.500000,0.600000
2,2,0.000221,7.198397,0.000377,-1.364430,0.500000,0.600000
3,3,-5.107169,5.107299,0.935627,-0.935406,0.500000,0.600000
4,4,-7.306027,0.000164,1.181230,0.000280,0.500000,0.600000
5,5,-5.096397,-5.096779,0.953963,0.953330,0.500000,0.600000
6,6,0.000000,-7.187335,0.000000,1.383260,0.500000,0.600000
7,7,5.165000,-5.164551,-0.837209,0.837955,0.500000,0.600000
0,0,7.163160,0.000271,-1.312690,0.000425,0.500000,0.650000
1,1,5.133876,5.133869,-0.820351,-0.820363,0.500000,0.650000
2,2,0.000240,7.130176,0.000377,-1.364430,0.500000,0.650000
3,3,-5.060388,5.060529,0.935627,-0.935406,0.500000,0.650000
4,4,-7.246966,0.000177,1.181230,0.000280,0.500000,0.650000
5,5,-5.048699,-5.049112,0.953963,0.953330,0.500000,0.650000
6,6,0.000000,-7.118172,0.000000,1.383260,0.500000,0.650000
7,7,5.123139,-5.122654,-0.837209,0.837955,0.500000,0.650000
0,0,7.097526,0.000292,-1.312690,0.000425,0.500000,0.700000
1,1,5.092859,5.092851,-0.820351,-0.820363,0.500000,0.700000
2,2,0.000259,7.061954,0.000377,-1.364430,0.500000,0.700000
3,3,-5.013607,5.013758,0.935627,-0.935406,0.500000,0.700000
4,4,-7.187904,0.000191,1.181230,0.000280,0.500000,0.700000
5,5,-5.001000,-5.001446,0.953963,0.953330,0.500000,0.700000
6,6,0.000000,-7.049009,0.000000,1.383260,0.500000,0.700000
7,7,5.081279,-5.080756,-0.837209,0.837955,0.500000,0.700000
0,0,7.031891,0.000313,-1.312690,0.000425,0.500000,0.750000
1,1,5.051841,5.051832,-0.820351,-0.820363,0.500000,0.750000
2,2,0.000278,6.993733,0.000377,-1.364430,0.500000,0.750000
3,3,-4.966825,4.966988,0.935627,-0.935406,0.500000,0.750000
4,4,-7.128843,0.000205,1.181230,0.000280,0.500000,0.750000
5,5,-4.953302,-4.953779,0.953963,0.953330,0.500000,0.750000
6,6,0.000000,-6.979846,0.000000,1.383260,0.500000,0.750000
7,7,5.039418,-5.038858,-0.837209,0.837955,0.500000,0.750000
0,0,6.966257,0.000334,-1.312690,0.000425,0.500000,0.800000
