id,gid,x,y,v_x,v_y,radius,time
0,0,7.955686,0.003191,-0.443144,0.031907,0.500000,0.100000
1,1,5.596670,5.597993,-0.601797,-0.588575,0.500000,0.100000
2,2,0.000020,7.940404,0.000206,-0.595959,0.500000,0.100000
3,3,-5.617020,5.593575,0.398297,-0.632753,0.500000,0.100000
4,4,-7.937849,0.000583,0.621513,0.005842,0.500000,0.100000
5,5,-5.578793,-5.591698,0.780574,0.651621,0.500000,0.100000
6,6,-0.002088,-7.965358,-0.020884,0.346425,0.500000,0.100000
7,7,5.586602,-5.597466,-0.702576,0.593835,0.500000,0.100000
0,0,7.834806,0.011230,-1.208793,0.080397,0.500000,0.200000
1,1,5.518673,5.531504,-0.779972,-0.664884,0.500000,0.200000
2,2,0.000774,7.813625,0.007532,-1.267793,0.500000,0.200000
3,3,-5.548435,5.511940,0.685851,-0.816348,0.500000,0.200000
4,4,-7.863348,-0.008862,0.745006,-0.094453,0.500000,0.200000
5,5,-5.485813,-5.500013,0.929797,0.916846,0.500000,0.200000
6,6,0.008028,-7.900486,0.101158,0.648720,0.500000,0.200000
7,7,5.498583,-5.513244,-0.880196,0.842223,0.500000,0.200000
0,0,7.719980,0.020846,-1.148259,0.096158,0.500000,0.300000
1,1,5.434754,5.473097,-0.839192,-0.584076,0.500000,0.300000
2,2,0.007766,7.667180,0.069925,-1.464447,0.500000,0.300000
3,3,-5.468380,5.435239,0.800554,-0.767007,0.500000,0.300000
4,4,-7.802477,-0.027277,0.608714,-0.184148,0.500000,0.300000
5,5,-5.399931,-5.390220,0.858818,1.097933,0.500000,0.300000
6,6,0.004742,-7.840015,-0.032852,0.604702,0.500000,0.300000
7,7,5.408571,-5.449932,-0.900120,0.633117,0.500000,0.300000
0,0,7.616727,0.015614,-1.032535,-0.052326,0.500000,0.400000
1,1,5.372782,5.404928,-0.619721,-0.681688,0.500000,0.400000
2,2,0.011916,7.534511,0.041500,-1.326694,0.500000,0.400000
3,3,-5.410616,5.359684,0.577642,-0.755552,0.500000,0.400000
4,4,-7.744661,-0.023736,0.578155,0.035407,0.500000,0.400000
5,5,-5.325555,-5.294433,0.743765,0.957869,0.500000,0.400000
6,6,0.000223,-7.730148,-0.045194,1.098673,0.500000,0.400000
7,7,5.302949,-5.375975,-1.056217,0.739576,0.500000,0.400000
0,0,7.521754,0.009438,-0.949726,-0.061760,0.500000,0.500000
1,1,5.310132,5.323552,-0.626496,-0.813759,0.500000,0.500000
2,2,0.005326,7.395683,-0.065897,-1.388280,0.500000,0.500000
3,3,-5.318514,5.274519,0.921021,-0.851646,0.500000,0.500000
4,4,-7.664635,-0.018026,0.800262,0.057102,0.500000,0.500000
5,5,-5.235005,-5.185454,0.905497,1.089795,0.500000,0.500000
6,6,-0.001308,-7.596377,-0.015305,1.337714,0.500000,0.500000
7,7,5.192095,-5.302443,-1.108544,0.735322,0.500000,0.500000
0,0,7.430226,0.001078,-0.915280,-0.083598,0.500000,0.600000
1,1,5.250409,5.254434,-0.597234,-0.691182,0.500000,0.600000
2,2,0.024410,7.244422,0.190839,-1.512605,0.500000,0.600000
3,3,-5.210299,5.193768,1.082144,-0.807511,0.500000,0.600000
4,4,-7.599520,-0.042207,0.651151,-0.241808,0.500000,0.600000
5,5,-5.123532,-5.060565,1.114732,1.248887,0.500000,0.600000
6,6,-0.016830,-7.457745,-0.155227,1.386320,0.500000,0.600000
7,7,5.108512,-5.251431,-0.835826,0.510120,0.500000,0.600000
0,0,7.308381,-0.007410,-1.218448,-0.084878,0.500000,0.700000
1,1,5.171378,5.190777,-0.790311,-0.636567,0.500000,0.700000
2,2,0.031905,7.067281,0.074948,-1.771416,0.500000,0.700000
3,3,-5.140855,5.111537,0.694442,-0.822311,0.500000,0.700000
4,4,-7.537123,-0.085039,0.623973,-0.428329,0.500000,0.700000
5,5,-5.053490,-4.943556,0.700420,1.170092,0.500000,0.700000
6,6,-0.021889,-7.339379,-0.050584,1.183653,0.500000,0.700000
7,7,5.021883,-5.162194,-0.866291,0.892366,0.500000,0.700000
0,0,7.209613,-0.012401,-0.987683,-0.049907,0.500000,0.800000
1,1,5.097293,5.134617,-0.740846,-0.561595,0.500000,0.800000
2,2,0.025849,6.880406,-0.060561,-1.868750,0.500000,0.800000
3,3,-5.079119,5.028678,0.617357,-0.828593,0.500000,0.800000
4,4,-7.476720,-0.102520,0.604031,-0.174809,0.500000,0.800000
5,5,-4.952321,-4.825811,1.011688,1.177444,0.500000,0.800000
6,6,-0.032653,-7.220872,-0.107646,1.185069,0.500000,0.800000
7,7,4.931115,-5.066050,-0.907679,0.961442,0.500000,0.800000
0,0,7.102814,-0.006755,-1.067990,0.056453,0.500000,0.900000
1,1,5.021336,5.091857,-0.759569,-0.427601,0.500000,0.900000
2,2,-0.002635,6.710229,-0.284838,-1.701763,0.500000,0.900000
3,3,-5.014949,4.957219,0.641697,-0.714584,0.500000,0.900000
4,4,-7.425517,-0.119472,0.512029,-0.169515,0.500000,0.900000
5,5,-4.863905,-4.715510,0.884156,1.103016,0.500000,0.900000
6,6,-0.027851,-7.098038,0.048023,1.228342,0.500000,0.900000
7,7,4.832971,-4.979057,-0.981439,0.869930,0.500000,0.900000
0,0,6.976810,0.001324,-1.260040,0.080792,0.500000,1.000000
1,1,4.933220,5.013302,-0.881166,-0.785550,0.500000,1.000000
2,2,-0.001436,6.540304,0.011984,-1.699250,0.500000,1.000000
3,3,-4.961648,4.890793,0.533011,-0.664263,0.500000,1.000000
4,4,-7.359319,-0.098039,0.661981,0.214330,0.500000,1.000000
5,5,-4.738529,-4.584900,1.253764,1.306096,0.500000,1.000000
6,6,-0.037390,-6.972833,-0.095395,1.252055,0.500000,1.000000
7,7,4.742791,-4.900533,-0.901802,0.785236,0.500000,1.000000
0,0,6.835121,0.010637,-1.416892,0.093134,0.500000,1.100000
1,1,4.848203,4.933118,-0.850160,-0.801837,0.500000,1.100000
2,2,-0.013233,6.359111,-0.117970,-1.811935,0.500000,1.100000
3,3,-4.905812,4.777771,0.558365,-1.130221,0.500000,1.100000
4,4,-7.243995,-0.112181,1.153233,-0.141424,0.500000,1.100000
5,5,-4.635155,-4.468601,1.033744,1.162993,0.500000,1.100000
6,6,-0.039602,-6.829956,-0.022119,1.428762,0.500000,1.100000
7,7,4.652597,-4.827207,-0.901937,0.733258,0.500000,1.100000
0,0,6.719646,-0.007381,-1.154748,-0.180180,0.500000,1.200000
1,1,4.760585,4.856766,-0.876189,-0.763529,0.500000,1.200000
2,2,-0.005168,6.182789,0.080650,-1.763220,0.500000,1.200000
3,3,-4.819251,4.685394,0.865610,-0.923768,0.500000,1.200000
4,4,-7.187479,-0.109162,0.565158,0.030190,0.500000,1.200000
5,5,-4.497211,-4.330198,1.379433,1.384033,0.500000,1.200000
6,6,-0.035054,-6.668747,0.045484,1.612099,0.500000,1.200000
7,7,4.577882,-4.733830,-0.747148,0.933772,0.500000,1.200000
0,0,6.584196,-0.007709,-1.354499,-0.003281,0.500000,1.300000
1,1,4.692521,4.768877,-0.680633,-0.878885,0.500000,1.300000
2,2,-0.004696,6.034883,0.004728,-1.479062,0.500000,1.300000
3,3,-4.719753,4.596674,0.994980,-0.887203,0.500000,1.300000
4,4,-7.116704,-0.105768,0.707750,0.033947,0.500000,1.300000
5,5,-4.383134,-4.219794,1.140769,1.104031,0.500000,1.300000
6,6,-0.059993,-6.532880,-0.249395,1.358662,0.500000,1.300000
7,7,4.498761,-4.657134,-0.791213,0.766959,0.500000,1.300000
0,0,6.444560,-0.007852,-1.396364,-0.001432,0.500000,1.400000
1,1,4.640369,4.703202,-0.521522,-0.656746,0.500000,1.400000
2,2,-0.006473,5.878680,-0.017773,-1.562025,0.500000,1.400000
3,3,-4.614815,4.508240,1.049375,-0.884341,0.500000,1.400000
4,4,-7.062557,-0.110670,0.541474,-0.049022,0.500000,1.400000
5,5,-4.290370,-4.115022,0.927644,1.047720,0.500000,1.400000
6,6,-0.084732,-6.405072,-0.247381,1.278082,0.500000,1.400000
7,7,4.428357,-4.597879,-0.704043,0.592552,0.500000,1.400000
0,0,6.282288,0.052439,-1.622719,0.602913,0.500000,1.500000
1,1,4.578007,4.640434,-0.623622,-0.627684,0.500000,1.500000
2,2,-0.014869,5.733330,-0.083958,-1.453503,0.500000,1.500000
3,3,-4.526410,4.426729,0.884052,-0.815111,0.500000,1.500000
4,4,-7.003624,-0.121393,0.589328,-0.107231,0.500000,1.500000
5,5,-4.185304,-4.001315,1.050657,1.137074,0.500000,1.500000
6,6,-0.088857,-6.271768,-0.041257,1.333038,0.500000,1.500000
7,7,4.345883,-4.539862,-0.824738,0.580169,0.500000,1.500000
0,0,6.109873,0.091647,-1.724146,0.392080,0.500000,1.600000
1,1,4.523048,4.583064,-0.549588,-0.573702,0.500000,1.600000
2,2,0.006130,5.608301,0.209990,-1.250289,0.500000,1.600000
3,3,-4.437084,4.331737,0.893265,-0.949914,0.500000,1.600000
4,4,-6.930399,-0.131233,0.732251,-0.098396,0.500000,1.600000
5,5,-4.058685,-3.879774,1.266195,1.215408,0.500000,1.600000
6,6,-0.121638,-6.141830,-0.327808,1.299386,0.500000,1.600000
7,7,4.272931,-4.474077,-0.729515,0.657856,0.500000,1.600000
0,0,5.985764,0.093722,-1.241096,0.020745,0.500000,1.700000
1,1,4.461809,4.519245,-0.612391,-0.638188,0.500000,1.700000
2,2,-0.003338,5.460922,-0.094688,-1.473786,0.500000,1.700000
3,3,-4.340728,4.238809,0.963559,-0.929289,0.500000,1.700000
4,4,-6.843269,-0.145012,0.871300,-0.137794,0.500000,1.700000
5,5,-3.940833,-3.750823,1.178516,1.289517,0.500000,1.700000
6,6,-0.147962,-5.999203,-0.263235,1.426266,0.500000,1.700000
7,7,4.210280,-4.409337,-0.626511,0.647395,0.500000,1.700000
0,0,5.868675,0.076057,-1.170887,-0.176645,0.500000,1.800000
1,1,4.431366,4.461680,-0.304432,-0.575648,0.500000,1.800000
2,2,-0.011461,5.330126,-0.081221,-1.307963,0.500000,1.800000
