id,gid,x,y,v_x,v_y,radius,time
0,0,-8.965070,-1.020413,0.349295,-0.204128,0.750000,0.100000
1,0,-8.950030,1.036411,0.499704,0.364109,0.750000,0.100000
2,1,-0.009440,-0.009956,-0.094401,-0.099560,0.750000,0.100000
0,0,-8.895005,-1.059592,0.700652,-0.391788,0.750000,0.200000
1,0,-8.858232,1.066230,0.917977,0.298190,0.750000,0.200000
2,1,-0.067388,-0.012828,-0.579481,-0.028722,0.750000,0.200000
0,0,-8.821890,-1.115006,0.731150,-0.554148,0.750000,0.300000
1,0,-8.707142,1.096842,1.510894,0.306118,0.750000,0.300000
2,1,-0.154007,-0.005076,-0.866183,0.077518,0.750000,0.300000
0,0,-8.758270,-1.163658,0.636199,-0.486516,0.750000,0.400000
1,0,-8.591432,1.148053,1.157102,0.512116,0.750000,0.400000
2,1,-0.259045,-0.040184,-1.050388,-0.351072,0.750000,0.400000
0,0,-8.667628,-1.231321,0.906420,-0.676632,0.750000,0.500000
1,0,-8.471563,1.161739,1.198695,0.136856,0.750000,0.500000
2,1,-0.372815,-0.037079,-1.137693,0.031042,0.750000,0.500000
0,0,-8.566591,-1.281809,1.010370,-0.504882,0.750000,0.600000
1,0,-8.351019,1.210990,1.205442,0.492512,0.750000,0.600000
2,1,-0.512280,-0.054508,-1.394651,-0.174288,0.750000,0.600000
0,0,-8.454490,-1.348516,1.121010,-0.667069,0.750000,0.700000
1,0,-8.231673,1.259915,1.193457,0.489247,0.750000,0.700000
2,1,-0.641227,-0.062732,-1.289474,-0.082240,0.750000,0.700000
0,0,-8.372589,-1.391435,0.819017,-0.429187,0.750000,0.800000
1,0,-8.113686,1.287644,1.179874,0.277293,0.750000,0.800000
2,1,-0.795183,-0.089245,-1.539557,-0.265129,0.750000,0.800000
0,0,-8.285676,-1.453694,0.869129,-0.622588,0.750000,0.900000
1,0,-8.017702,1.321145,0.959834,0.335011,0.750000,0.900000
2,1,-0.930338,-0.098242,-1.351555,-0.089972,0.750000,0.900000
0,0,-8.164848,-1.490337,1.208281,-0.366430,0.750000,1.000000
1,0,-7.916678,1.356892,1.010241,0.357469,0.750000,1.000000
2,1,-1.044467,-0.091634,-1.141290,0.066084,0.750000,1.000000
0,0,-8.051406,-1.520880,1.134416,-0.305436,0.750000,1.100000
